predicted_causeid,code,short_desc,long_desc,major,three_digit
cvd,N140,NEPHROPATHIE DUE A UN ANALGESIQUE,Néphropathie due à un analgésique,Atteintes tubulo-interstitielles et tubulaires dues à des médicaments et des métaux lourds,N14
neo,N170,INSUF. RENALE AIG. AVEC NECROSE TUBUL.,Insuffisance rénale aiguë avec nécrose tubulaire,Insuffisance rénale aiguë,N17
neo,N171,INSUF. RENALE AIG. AVEC NECROSE CORTICALE AIG.,Insuffisance rénale aiguë avec nécrose corticale aiguë,Insuffisance rénale aiguë,N17
neo,N179,"INSUF. RENALE AIG., SAI","Insuffisance rénale aiguë, sans précision",Insuffisance rénale aiguë,N17
neo,N180,*** SU10 *** INSUF. RENALE TERMINALE,*** SU10 *** Insuffisance rénale terminale,Maladie rénale chronique,N18
neo,N200,CALCUL DU REIN,Calcul du rein,Calcul du rein et de l'uretère,N20
neo,N210,CALCUL DE LA VESSIE,Calcul de la vessie,Calcul des voies urinaires inférieures,N21
neo,N280,ISCHEM. ET INFARCTUS DU REIN,Ischémie et infarctus du rein,"Autres affections du rein et de l'uretère, non classées ailleurs",N28
neo,N288,"AFF. PREC. DU REIN ET DE L'URETERE, NCA",Autres affections précisées du rein et de l'uretère,"Autres affections du rein et de l'uretère, non classées ailleurs",N28
neo,N289,"AFF. DU REIN ET DE L'URETERE, SAI","Affection du rein et de l'uretère, sans précision","Autres affections du rein et de l'uretère, non classées ailleurs",N28
digest,N320,OBSTRU. DU COL DE LA VESSIE,Obstruction du col de la vessie,Autres affections de la vessie,N32
neo,N321,FISTULE VESICO-INTEST.,Fistule vésico-intestinale,Autres affections de la vessie,N32
neo,N328,"AFF. PREC. DE LA VESSIE, NCA",Autres affections précisées de la vessie,Autres affections de la vessie,N32
neo,N329,"AFF. DE LA VESSIE, SAI","Affection de la vessie, sans précision",Autres affections de la vessie,N32
neo,N359,"RETREC. URETRAL, SAI","Rétrécissement urétral, sans précision",Rétrécissement urétral,N35
neo,N390,"INFECT. DES VOIES URIN., SIEGE SAI","Infection des voies urinaires, siège non précisé",Autres affections de l'appareil urinaire,N39
neo,N399,"AFF. DE L'APP. URIN., SAI","Affection de l'appareil urinaire, sans précision",Autres affections de l'appareil urinaire,N39
neo,N40,HYPERPLASIE DE LA PROSTATE,Hyperplasie de la prostate,Hyperplasie de la prostate,N40
neo,N421,CONGESTION ET HEMORR. PROSTATIQUES,Congestion et hémorragie prostatiques,Autres affections de la prostate,N42
neo,N429,"AFF. DE LA PROSTATE, SAI","Affection de la prostate, sans précision",Autres affections de la prostate,N42
neo,N433,"HYDROCELE, SAI","Hydrocèle, sans précision",Hydrocèle et spermatocèle,N43
neo,N450,"ORCHITE, EPIDIDYMITE ET EPIDIDYMO-ORCHITE, AVEC ABCES","Orchite, épididymite et épididymo-orchite, avec abcès",Orchite et épididymite,N45
neo,N482,"AFF. INFL. DE LA VERGE, NCA",Autres affections inflammatoires de la verge,Autres affections de la verge,N48
neo,N508,"AFF. PREC. DES ORG. GEN. DE L'HOMME, NCA",Autres affections précisées des organes génitaux de l'homme,Autres affections des organes génitaux de l'homme,N50
neo,N709,"SALPINGITE ET OVARITE, SAI","Salpingite et ovarite, sans précision",Salpingite et ovarite,N70
neo,N719,"AFF. INFL. DE L'UTERUS, SAI","Affection inflammatoire de l'utérus, sans précision","Affections inflammatoires de l'utérus, à l'exclusion du col",N71
neo,N731,PARAMETRITE ET PHLEGMON PELVIEN CHRON.,Paramétrite et phlegmon pelvien chroniques,Autres affections inflammatoires pelviennes de la femme,N73
neo,N735,"PELVIPERITONITE CHEZ LA FEMME, SAI","Pelvipéritonite chez la femme, sans précision",Autres affections inflammatoires pelviennes de la femme,N73
neo,N739,"AFF. INFL. PELVIENNE DE LA FEMME, SAI","Affection inflammatoire pelvienne de la femme, sans précision",Autres affections inflammatoires pelviennes de la femme,N73
neo,N760,VAGINITE AIG. OU SAI,Vaginite (aiguë),Autres inflammations du vagin et de la vulve,N76
neo,N800,ENDOMETRIOSE DE L'UTERUS,Endométriose de l'utérus,Endométriose,N80
neo,N823,FISTULE DU VAGIN AU COLON,Fistule du vagin au côlon,Fistules de l'appareil génital de la femme,N82
neo,N824,"FISTULES INTESTINO-GEN. CHEZ LA FEMME, NCA",Autres fistules intestino-génitales chez la femme,Fistules de l'appareil génital de la femme,N82
neo,N828,"FISTULES DE L'APP. GEN. DE LA FEMME, NCA",Autres fistules de l'appareil génital de la femme,Fistules de l'appareil génital de la femme,N82
neo,N883,BEANCE DU COL DE L'UTERUS,Béance du col de l'utérus,Autres affections non inflammatoires du col de l'utérus,N88
neo,N908,"AFF. NON INFL. PREC. DE LA VULVE ET DU PERINEE, NCA",Autres affections non inflammatoires précisées de la vulve et du périnée,Autres affections non inflammatoires de la vulve et du périnée,N90
inj_trans,N920,MENSTRUATION ABONDANTE ET FREQUENTE AVEC CYCLE MENSTRUEL REGULIER,Menstruation trop abondante et trop fréquente avec cycle menstruel régulier,"Ménorragie, polyménorrhée et métrorragie",N92
unintent,N930,SAIGNEMENTS POST-COITAUX ET DE CONTACT,Saignements post-coïtaux et de contact,Autres saignements anormaux de l'utérus et du vagin,N93
neo,N939,"SAIGNEMENT ANL. DE L'UTERUS ET DU VAGIN, SAI","Saignement anormal de l'utérus et du vagin, sans précision",Autres saignements anormaux de l'utérus et du vagin,N93
inj_trans,N948,"AFF. PREC. DES ORG. GEN. DE LA FEMME ET DU CYCLE MENSTRUEL, NCA",Autres affections précisées des organes génitaux de la femme et du cycle menstruel,Douleurs et autres affections des organes génitaux de la femme et du cycle menstruel,N94
neo,N950,SAIGNEMENTS POST-MENOPAUSIQUES,Saignements post-ménopausiques,Troubles de la ménopause et autres troubles de la périménopause,N95
neo,N952,VAGINITE ATROPHIQUE POST-MENOPAUSIQUE,Vaginite atrophique post-ménopausique,Troubles de la ménopause et autres troubles de la périménopause,N95
neo,O660,DYSTOCIE DES EPAULES,Dystocie des épaules,Autres dystocies,O66
neo,P000,N.N. AFF. PAR DES TBL. HYPERTENSIFS DE LA MERE,Foetus et nouveau-né affectés par des troubles hypertensifs de la mère,"Foetus et nouveau-né affectés par des affections maternelles, éventuellement sans rapport avec la grossesse actuelle",P00
mater_neonat,P030,N.N. AFF. PAR UN ACCOUCH. ET UNE EXTRACTION PAR LE SIEGE,Foetus et nouveau-né affectés par un accouchement et une extraction par le siège,Foetus et nouveau-né affectés par d'autres complications du travail et de l'accouchement,P03
cvd,P130,FRAC. DU CRANE DUE A UN TRAUMA. OBST.,Fracture du crâne due à un traumatisme obstétrical,Lésion du squelette due à un traumatisme obstétrical,P13
otherncd,P220,SYND. DE DETRESSE RESP. DU N.N.,Syndrome de détresse respiratoire du nouveau-né,Détresse respiratoire du nouveau-né,P22
otherncd,P236,PNEUMOPATHIE CONG. DUE A D'AUTRES AGENTS BACT.,Pneumopathie congénitale due à d'autres agents bactériens,Pneumopathie congénitale,P23
neo,P240,ASPIRATION NEONAT. DE MECONIUM,Aspiration néonatale de méconium,Syndromes néonatals d'aspiration,P24
neo,P250,EMPHYSEME INTERST. SURVENANT PENDANT LA PERIODE PERINAT.,Emphysème interstitiel survenant pendant la période périnatale,Emphysème interstitiel et affections apparentées survenant pendant la période périnatale,P25
neo,P280,ATELECTASIE PRIMITIVE DU N.N.,Atélectasie primitive du nouveau-né,Autres affections respiratoires survenant pendant la période périnatale,P28
neo,P290,INSUF. CARD. NEONAT.,Insuffisance cardiaque néonatale,Affections cardio-vasculaires survenant pendant la période périnatale,P29
neo,P360,"INFECT. DU N.N. A STREPTO., GROUPE B","Infection du nouveau-né à streptocoques, groupe B",Infection bactérienne du nouveau-né,P36
neo,P910,ISCHEM. CEREB. NEONAT.,Ischémie cérébrale néonatale,Autres affections cérébrales du nouveau-né,P91
neo,P960,INSUF. RENALE CONG.,Insuffisance rénale congénitale,Autres affections dont l'origine se situe dans la période périnatale,P96
otherncd,Q000,ANENCEPHALIE,Anencéphalie,Anencéphalie et malformations similaires,Q00
otherncd,Q200,TRONC ART. COMMUN,Tronc artériel commun,Malformations congénitales des cavités et des orifices cardiaques,Q20
otherncd,Q210,C.I.V.,Communication interventriculaire,Malformations congénitales des cloisons cardiaques,Q21
otherncd,Q230,STENOSE CONG. DE LA VALV. AORT.,Sténose congénitale de la valvule aortique,Malformations congénitales des valvules aortique et mitrale,Q23
otherncd,Q240,DEXTROCARDIE,Dextrocardie,Autres malformations congénitales cardiaques,Q24
otherncd,Q250,PERMEABILITE DU CANAL ART.,Perméabilité du canal artériel,Malformations congénitales des gros vaisseaux,Q25
otherncd,Q280,MALF. ARTERIOVEINEUSE DE VSSX. PRECEREB.,Malformation artérioveineuse de vaisseaux précérébraux,Autres malformations congénitales de l'appareil circulatoire,Q28
otherncd,Q310,PTERYGION DU LARYNX,Ptérygion du larynx,Malformations congénitales du larynx,Q31
otherncd,Q330,POUMON KYSTIQUE CONG.,Poumon kystique congénital,Malformations congénitales du poumon,Q33
otherncd,Q410,"ABSENCE, ATRESIE ET STENOSE CONG. DU DUODENUM","Absence, atrésie et sténose congénitales du duodénum","Absence, atrésie et sténose congénitales de l'intestin grêle",Q41
neo,Q600,"AGENESIE RENALE, UNILAT.","Agénésie rénale, unilatérale",Agénésie rénale et autres défauts de développement rénal,Q60
neo,Q610,KYSTE CONG. OU SAI DU REIN,Kyste (congénital unique) du rein,Maladies kystiques du rein,Q61
otherncd,Q630,REIN SURNUMERAIRE,Rein surnuméraire,Autres malformations congénitales du rein,Q63
neo,Q780,OSTEOGENESE IMPARFAITE,Ostéogénèse imparfaite,Autres ostéochondrodysplasies,Q78
otherncd,Q790,HERNIE DIAPHRAGMATIQUE CONG.,Hernie diaphragmatique congénitale,"Malformations congénitales du système ostéo-articulaire et des muscles, non classées ailleurs",Q79
otherncd,Q820,LYMPHOEDEME HERED.,Lymphoedème héréditaire,Autres malformations congénitales de la peau,Q82
neo,Q850,NEUROFIBROMATOSE,Neurofibromatose (non maligne),"Phacomatoses, non classées ailleurs",Q85
neo,Q870,SYND. CONG. MALF. ATTEIGNANT L'ASPECT DE LA FACE,Syndromes congénitaux malformatifs atteignant principalement l'aspect de la face,Autres syndromes congénitaux malformatifs précisés atteignant plusieurs systèmes,Q87
otherncd,Q890,MALF. CONG. DE LA RATE,Malformations congénitales de la rate,"Autres malformations congénitales, non classées ailleurs",Q89
otherncd,Q899,"MALF. CONG., SAI","Malformation congénitale, sans précision","Autres malformations congénitales, non classées ailleurs",Q89
otherncd,Q910,"TRISOMIE 18, NON-DISJONCTION MEIOTIQUE","Trisomie 18, non-disjonction méïotique",Syndrome d'Edwards et syndrome de Patau,Q91
neo,Q990,"CHIMERE 46,XX/46,XY","Chimère 46,XX/46,XY","Autres anomalies des chromosomes, non classées ailleurs",Q99
neo,Q999,"ANOM. CHROMOS., SAI","Anomalie chromosomique, sans précision","Autres anomalies des chromosomes, non classées ailleurs",Q99
neo,R001,"BRADYCARDIE, SAI","Bradycardie, sans précision",Anomalies du rythme cardiaque,R00
neo,R02,"GANGRENE, NCA","Gangrène, non classée ailleurs","Gangrène, non classée ailleurs",R02
neo,R040,EPISTAXIS,Épistaxis,Hémorragie des voies respiratoires,R04
neo,R042,HEMOPTYSIE,Hémoptysie,Hémorragie des voies respiratoires,R04
neo,R048,HEMORR. D'AUTRES PARTIES DES VOIES RESP.,Hémorragie d'autres parties des voies respiratoires,Hémorragie des voies respiratoires,R04
neo,R060,DYSPNEE,Dyspnée,Anomalies de la respiration,R06
neo,R090,ASPHYXIE,Asphyxie,Autres symptômes et signes relatifs aux appareils circulatoire et respiratoire,R09
neo,R092,ARRET RESP.,Arrêt respiratoire,Autres symptômes et signes relatifs aux appareils circulatoire et respiratoire,R09
neo,R098,"SYMPT. ET SIGNES PREC. RELAT. AUX APP. CIRC. ET RESP., NCA",Autres symptômes et signes précisés relatifs aux appareils circulatoire et respiratoire,Autres symptômes et signes relatifs aux appareils circulatoire et respiratoire,R09
otherncd,R100,SYND. ABDO. AIG.,Syndrome abdominal aigu,Douleur abdominale et pelvienne,R10
neo,R104,"DOULEURS ABDO., NCA OU SAI","Douleurs abdominales, autres et non précisées",Douleur abdominale et pelvienne,R10
neo,R13,DYSPHAGIE,Dysphagie,Dysphagie,R13
neo,R190,TUMEFACTION ET MASSE INTRA-ABDO. ET PELVIENNES,Tuméfaction et masse intra-abdominales et pelviennes,Autres symptômes et signes relatifs à l'appareil digestif et à l'abdomen,R19
neo,R198,"SYMPT. ET SIGNES PREC. RELAT. A L'APP. DIG. ET A L'ABDO., NCA",Autres symptômes et signes précisés relatifs à l'appareil digestif et à l'abdomen,Autres symptômes et signes relatifs à l'appareil digestif et à l'abdomen,R19
neo,R222,"TUMEFACTION ET MASSE LOC., NIV. TRONC","Tuméfaction et masse localisées, au niveau du tronc",Autres tuméfactions et masses localisées de la peau et du tissu cellulaire sous-cutané,R22
neo,R418,"SYMPT. ET SIGNES RELAT. AUX FCT. COGNIT., A LA CONSCIENCE, NCA OU SAI","Symptômes et signes relatifs aux fonctions cognitives et à la conscience, autres et non précisés",Autres symptômes et signes relatifs aux fonctions cognitives et à la conscience,R41
neo,R53,MALAISE ET FATIGUE,Malaise et fatigue,Malaise et fatigue,R53
neo,R54,SENILITE,Sénilité,Sénilité,R54
neo,R55,SYNCOPE ET COLLAPSUS,Syncope et collapsus (sauf choc),Syncope et collapsus (sauf choc),R55
neo,R568,"CONVULSIONS, NCA OU SAI","Convulsions, autres et non précisées","Convulsions, non classées ailleurs",R56
neo,R570,CHOC CARDIOGENIQUE,Choc cardiogénique,"Choc, non classé ailleurs",R57
neo,R578,"CHOCS, NCA",Autres chocs,"Choc, non classé ailleurs",R57
neo,R579,"CHOC, SAI","Choc, sans précision","Choc, non classé ailleurs",R57
neo,R58,"HEMORR., NCA","Hémorragie, non classée ailleurs","Hémorragie, non classée ailleurs",R58
neo,R599,"ADENOPATHIE, SAI","Adénopathie, sans précision",Adénopathies,R59
neo,R628,"RETARDS DU DEVELOP. PHYSIO., NCA",Autres retards du développement physiologique,Retard du développement physiologique,R62
neo,R630,ANOREXIE,Anorexie,Symptômes et signes relatifs à l'absorption d'aliments et de liquides,R63
neo,R636,INGESTION INSUFFISANTE D'ALIMENTS ET DE LIQUIDES,Ingestion insuffisante d'aliments et de liquides,Symptômes et signes relatifs à l'absorption d'aliments et de liquides,R63
neo,R64,CACHEXIE,Cachexie,Cachexie,R64
otherncd,R659,SYND. REPONSE INFLAM. SYST. SAI,"Syndrome de réponse inflammatoire systémique, sans précision",Syndrome de réponse inflammatoire systémique,R65
neo,R688,"SYMPT. ET SIGNES GX. PREC., NCA",Autres symptômes et signes généraux précisés,Autres symptômes et signes généraux,R68
neo,R75,MISE EN EVIDENCE PAR DES EX. DE LABORATOIRE DU V.I.H.,Mise en évidence par des examens de laboratoire du virus de l'immunodéficience humaine [VIH],Mise en évidence par des examens de laboratoire du virus de l'immunodéficience humaine [VIH],R75
neo,R91,RES. ANX. D'IMAGE DU POUMON,Résultats anormaux d'imagerie diagnostique du poumon,Résultats anormaux d'imagerie diagnostique du poumon,R91
unintent,R960,MORT INSTANTANEE,Mort instantanée,Autre mort subite de cause inconnue,R96
inj_trans,R99,"CAUSES DE MORTALITE MAL DEFINIES ET SAI, NCA",Autres causes de mortalité mal définies et non précisées,Autres causes de mortalité mal définies et non précisées,R99
inj_trans,V180,"CONDUCT. CYCL. BLES. DS ACCID. DE TRANSP., SANS COLL., AHC","Conducteur d'un cycle blessé dans un accident de transport, sans collision, hors circulation","Cycliste blessé dans un accident de transport, sans collision",V18
inj_trans,V290,"CONDUCT. MOTO BLES. DS COLL. AV. VEHIC. MOT., NCA, SAI, AHC","Conducteur d'un motocycle blessé dans une collision avec des véhicules à moteur, autres et sans précision, accident hors circulation","Motocycliste blessé dans des accidents de transport, autres et sans précision",V29
inj_trans,V670,"CONDUCT. VEHIC. LRD. BLES. DS COLL. AV. OBJ. FIXE, AHC","Conducteur d'un véhicule lourd blessé dans une collision avec un objet fixe ou stationnaire, accident hors circulation",Occupant d'un véhicule lourd blessé dans une collision avec un objet fixe ou stationnaire,V67
inj_trans,V800,CHUTE OU ÉJECTION PERS. MONTANT ANIM. DS ACCID. SANS COLL.,Chute ou éjection d'une personne montant un animal ou occupant un véhicule à traction animale dans un accident sans collision,Personne montant un animal ou occupant un véhicule à traction animale blessée dans un accident de transport,V80
inj_trans,V840,"CONDUCT. VEHIC. AGRIC., BLES. DS ADC","Conducteur d'un véhicule spécial utilisé essentiellement pour des travaux agricoles, blessé dans un accident de circulation","Occupant d'un véhicule spécial utilisé essentiellement pour des travaux agricoles, blessé dans un accident de transport",V84
inj_trans,V860,"CONDUCT. VEHIC. TOUT-TER., BLES. DS ADC","Conducteur d'un véhicule tout-terrain, blessé dans un accident de circulation","Occupant d'un véhicule tout-terrain, blessé dans un accident de transport",V86
inj_trans,V870,PERS. BLES. DS COLL. ENTRE UNE AUTO ET UN VEHIC. MOT. 2-3 R.,Personne blessée dans une collision entre une automobile et un véhicule à moteur à deux ou trois roues (dans la circulation),"Accident de la circulation d'un type précisé, sans que soit connu le mode de transport de la victime",V87
inj_trans,V874,PERS. BLES. DS COLL. ENTRE UNE AUTO ET UN VEHIC. LRD.,Personne blessée dans une collision entre une automobile et un véhicule lourd (dans la circulation),"Accident de la circulation d'un type précisé, sans que soit connu le mode de transport de la victime",V87
inj_trans,V877,PERS. BLES. DS COLL. ENTRE D'AUTRES VEHIC. MOT. PRÉCISÉS,Personne blessée dans une collision entre d'autres véhicules à moteur précisés (dans la circulation),"Accident de la circulation d'un type précisé, sans que soit connu le mode de transport de la victime",V87
inj_trans,V878,"PERS. BLES. DS ACCID. TRANSP. NCA, SANS COLL., EN VEHIC. MOT.","Personne blessée dans d'autres accidents de transport précisés, sans collision, impliquant un véhicule à moteur (dans la circulation)","Accident de la circulation d'un type précisé, sans que soit connu le mode de transport de la victime",V87
inj_trans,V887,"PERS. BLES. DS COLL. ENTRE D'AUTRES VEHIC. MOT. PRÉCISÉS, AHC","Personne blessée dans une collision entre d'autres véhicules à moteur précisés, hors circulation","Accident en dehors de la circulation d'un type précisé, sans que soit connu le mode de transport de la victime",V88
inj_trans,V890,"PERS. BLES. DS ACCID. AV. VEHIC. MOT., SAI, AHC","Personne blessée dans un accident avec un véhicule à moteur, sans précision, hors circulation","Accident avec un véhicule avec ou sans moteur, type de véhicule non précisé",V89
inj_trans,V892,"PERS. BLES. DS ACCID. DE CIRC. AV. VEHIC. MOT., SAI","Personne blessée dans un accident de la circulation avec un véhicule à moteur, sans précision","Accident avec un véhicule avec ou sans moteur, type de véhicule non précisé",V89
inj_trans,V899,"PERS. BLES. DS ACCID. AV. VEHIC., SAI","Personne blessée dans un accident avec un véhicule, sans précision","Accident avec un véhicule avec ou sans moteur, type de véhicule non précisé",V89
inj_trans,V920,"NOYADE DURANT TRANSP. PAR EAU EN NAVIRE MARCHAND, SANS ACCID.","Noyade et submersion durant un transport par eau impliquant un navire marchand, sans accident","Noyade et submersion durant un transport par eau, sans accident de bateau",V92
inj_trans,V950,ACCID. D'HÉLICOPTÈRE BLESSANT UN OCCUP.,Accident d'hélicoptère blessant un occupant,Accident d'aéronef à moteur dans lequel un occupant est blessé,V95
inj_trans,V960,ACCID. DE BALLON BLESSANT UN OCCUP.,Accident de ballon blessant un occupant,Accident d'aéronef sans moteur dans lequel un occupant est blessé,V96
neo,X00,"EXPOS. À UN FEU NON MAITR., DS BATIM.","Exposition à un feu non maîtrisé, dans un bâtiment ou un ouvrage","Exposition à un feu non maîtrisé, dans un bâtiment ou un ouvrage",X00
neo,X40,"INTOX. ACCID. ANALG., ANTIPYR., ANTIRHUM. NON OPIAC.","Intoxication accidentelle par des analgésiques, antipyrétiques et antirhumatismaux, non opiacés et exposition à ces produits","Intoxication accidentelle par des analgésiques, antipyrétiques et antirhumatismaux, non opiacés et exposition à ces produits",X40
neo,X590,"EXPOS. À DES FACTEURS SAI, RESPONSABLES DE FRACTURE",Exposition à des facteurs non précisés responsables de fracture,"Exposition à des facteurs, sans précision",X59
neo,X599,"EXPOS. À DES FACTEURS SAI, RESPONSABLES DE LES. NCA OU SAI",Exposition à des facteurs non précisés responsables de lésions autres et non précisées,"Exposition à des facteurs, sans précision",X59
neo,Y00,AGRESS. PAR OBJ. CONTONDANT,Agression par objet contondant,Agression par objet contondant,Y00
neo,Y10,"INTOX. ANALG., ANTIPYR., ANTIRHUM. NON OPIAC.","Intoxication par des analgésiques, antipyrétiques et antirhumatismaux non opiacés et exposition à ces produits, intention non déterminée","Intoxication par des analgésiques, antipyrétiques et antirhumatismaux non opiacés et exposition à ces produits, intention non déterminée",Y10
neo,Y20,"PENDAISON, INTENTION SAI","Pendaison, strangulation et suffocation, intention non déterminée","Pendaison, strangulation et suffocation, intention non déterminée",Y20
neo,Y30,"CHUTE, SAUT OU PRÉCIPITATION DS LE VIDE, INTENTION SAI","Chute, saut ou précipitation dans le vide, intention non déterminée","Chute, saut ou précipitation dans le vide, intention non déterminée",Y30
neo,Y350,INTERV. DE LA FORCE PUB. DUE A L'USAGE D'ARMES À FEU,Intervention de la force publique impliquant l'usage d'armes à feu,Intervention de la force publique,Y35
neo,Y400,EFF. INDESIR. PÉNICILLINES (US. THER.),Effets indésirables des pénicillines au cours de leur usage thérapeutique,Effets indésirables des antibiotiques systémiques,Y40
neo,Y420,EFF. INDESIR. GLUCOCORTIC. ET ANALOGUES SYNTHÉT. (US. THER.),Effets indésirables des glucocorticoïdes et analogues synthétiques au cours de leur usage thérapeutique,"Effets indésirables des hormones et leurs substituts synthétiques et antagonistes, non classés ailleurs",Y42
neo,Y450,EFF. INDESIR. OPIOÏDES ET ANALGÉSIQUES APPARENTÉS (US. THER.),Effets indésirables des opioïdes et analgésiques apparentés au cours de leur usage thérapeutique,"Effets indésirables des médicaments analgésiques, antipyrétiques et anti-inflammatoires",Y45
otherncd,Y520,"EFF. INDESIR. GLUCOS. CARDIOTON., MÉDIC. D'ACT. SIMIL. (US. THER.)",Effets indésirables des glucosides cardiotoniques et médicaments d'action similaire au cours de leur usage thérapeutique,Effets indésirables des substances agissant essentiellement sur le système cardio-vasculaire,Y52
digest,Y600,"COUP., PIQ., PERFOR., HEMORR. ACCID. AU COURS ITV CHIR.","Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'une intervention chirurgicale","Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'actes médicaux et chirurgicaux",Y60
unintent,Y830,"TRANSPLANT. ORG. ET REACT. ANL PAT., COMPLIC. ULT., SANS ACCID.","Intervention chirurgicale avec transplantation d'un organe entier à l'origine de réactions anormales du patient ou de complications ultérieures, sans mention d'accident au cours de l'intervention","Opération et autre acte chirurgical à l'origine de réactions anormales du patient ou de complications ultérieures, sans mention d'accident au cours de l'intervention",Y83
inj_trans,Y850,SÉQUELLES ACCID. DE VEHIC. MOT.,Séquelles d'un accident de véhicule à moteur,Séquelles d'un accident de transport,Y85
neo,Y870,SÉQUELLES AUTO-LESION,Séquelles d'une lésion auto-infligée,"Séquelles d'une lésion auto-infligée, d'une agression ou d'un événement d'intention non déterminée",Y87
neo,Y872,SÉQUELLES EVENEM. D'INTENTION SAI,Séquelles d'un événement d'intention non déterminée,"Séquelles d'une lésion auto-infligée, d'une agression ou d'un événement d'intention non déterminée",Y87
unintent,Y880,SÉQUELLES ADM. MÉDIC. ET SUBST. BIOL. PROV. EFF. INDESIR. (US. THER.),Séquelles de l'administration de médicaments et de substances biologiques ayant provoqué des effets indésirables au cours de leur usage thérapeutique,Actes médicaux et chirurgicaux considérés comme cause externe de séquelles,Y88
unintent,Y899,"SÉQUELLES CAUSE EXTERNE, SAI","Séquelles de cause externe, sans précision",Séquelles d'autres causes externes,Y89
